w:\modules\database\MariaDB-10.4\bin\mysqld.exe, Version: 10.4.19-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: (null)
Time		    Id Command	Argument
		     9 Query	SELECT `char_id`,`account_id`,`char_num`,`name`,`class`,`base_level`,`job_level`,`base_exp`,`job_exp`,`zeny`,`str`,`agi`,`vit`,`int`,`dex`,`luk`,`max_hp`,`hp`,`max_sp`,`sp`,`status_point`,`skill_point`,`option`,`karma`,`manner`,`party_id`,`guild_id`,`pet_id`,`homun_id`,`elemental_id`,`hair`,`hair_color`,`clothes_color`,`weapon`,`shield`,`head_top`,`head_mid`,`head_bottom`,`robe`,`last_map`,`last_x`,`last_y`,`save_map`,`save_x`,`save_y`,`partner_id`,`online`,`father`,`mother`,`child`,`fame`,`rename`,`delete_date`,`moves`,`unban_time`,`font`,`sex`,`hotkey_rowshift`,`clan_id`,`last_login`,`title_id`,`show_equip`,`hotkey_rowshift2` FROM `char` LIMIT 1
		     9 Query	SELECT `time`,`char_msg`,`account_id`,`char_num`,`name`,`str`,`agi`,`vit`,`int`,`dex`,`luk`,`hair`,`hair_color` FROM `charlog` LIMIT 1
		     9 Query	SELECT `char_id`,`key`,`index`,`value` from `char_reg_str` LIMIT 1
		     9 Query	SELECT `char_id`,`key`,`index`,`value` from `char_reg_num` LIMIT 1
		     9 Query	SELECT `account_id`,`key`,`index`,`value` from `acc_reg_str` LIMIT 1
		     9 Query	SELECT `account_id`,`key`,`index`,`value` from `acc_reg_num` LIMIT 1
		     9 Query	SELECT  `char_id`,`hotkey`,`type`,`itemskill_id`,`skill_lvl` FROM `hotkey` LIMIT 1
		     9 Query	SELECT  `account_id`,`char_id`,`type`,`tick`,`val1`,`val2`,`val3`,`val4` FROM `sc_data` LIMIT 1
		     9 Query	SELECT  `char_id`,`id`,`lv`,`flag` FROM `skill` LIMIT 1
		     9 Query	SELECT  `time`,`log` FROM `interlog` LIMIT 1
		     9 Query	SELECT  `memo_id`,`char_id`,`map`,`x`,`y` FROM `memo` LIMIT 1
		     9 Query	SELECT  `guild_id`,`name`,`char_id`,`master`,`guild_lv`,`connect_member`,`max_member`,`average_lv`,`exp`,`next_exp`,`skill_point`,`mes1`,`mes2`,`emblem_len`,`emblem_id`,`emblem_data`,`last_master_change` FROM `guild` LIMIT 1
		     9 Query	SELECT  `guild_id`,`opposition`,`alliance_id`,`name` FROM `guild_alliance` LIMIT 1
		     9 Query	SELECT  `castle_id`,`guild_id`,`economy`,`defense`,`triggerE`,`triggerD`,`nextTime`,`payTime`,`createTime`,`visibleC`,`visibleG0`,`visibleG1`,`visibleG2`,`visibleG3`,`visibleG4`,`visibleG5`,`visibleG6`,`visibleG7`  FROM `guild_castle` LIMIT 1
		     9 Query	SELECT  `guild_id`,`account_id`,`name`,`mes` FROM `guild_expulsion` LIMIT 1
		     9 Query	SELECT  `guild_id`,`char_id`,`exp`,`position` FROM `guild_member` LIMIT 1
		     9 Query	SELECT  `guild_id`,`id`,`lv` FROM `guild_skill` LIMIT 1
		     9 Query	SELECT  `guild_id`,`position`,`name`,`mode`,`exp_mode` FROM `guild_position` LIMIT 1
		     9 Query	SELECT  `party_id`,`name`,`exp`,`item`,`leader_id`,`leader_char` FROM `party` LIMIT 1
		     9 Query	SELECT  `pet_id`,`class`,`name`,`account_id`,`char_id`,`level`,`egg_id`,`equip`,`intimate`,`hungry`,`rename_flag`,`incubate` FROM `pet` LIMIT 1
		     9 Query	SELECT  `char_id`,`friend_id` FROM `friends` LIMIT 1
		     9 Query	SELECT  `id`,`send_name`,`send_id`,`dest_name`,`dest_id`,`title`,`message`,`time`,`status`,`zeny`,`type` FROM `mail` LIMIT 1
		     9 Query	SELECT  `id`,`index`,`nameid`,`amount`,`refine`,`attribute`,`identify`,`card0`,`card1`,`card2`,`card3`,`option_id0`,`option_val0`,`option_parm0`,`option_id1`,`option_val1`,`option_parm1`,`option_id2`,`option_val2`,`option_parm2`,`option_id3`,`option_val3`,`option_parm3`,`option_id4`,`option_val4`,`option_parm4`,`unique_id`, `bound`, `enchantgrade` FROM `mail_attachments` LIMIT 1
		     9 Query	SELECT  `auction_id`,`seller_id`,`seller_name`,`buyer_id`,`buyer_name`,`price`,`buynow`,`hours`,`timestamp`,`nameid`,`item_name`,`type`,`refine`,`attribute`,`card0`,`card1`,`card2`,`card3`,`option_id0`,`option_val0`,`option_parm0`,`option_id1`,`option_val1`,`option_parm1`,`option_id2`,`option_val2`,`option_parm2`,`option_id3`,`option_val3`,`option_parm3`,`option_id4`,`option_val4`,`option_parm4`,`unique_id`, `enchantgrade` FROM `auction` LIMIT 1
		     9 Query	SELECT  `char_id`,`quest_id`,`state`,`time`,`count1`,`count2`,`count3` from `quest`
		     9 Query	SELECT  `homun_id`,`char_id`,`class`,`prev_class`,`name`,`level`,`exp`,`intimacy`,`hunger`,`str`,`agi`,`vit`,`int`,`dex`,`luk`,`hp`,`max_hp`,`sp`,`max_sp`,`skill_point`,`alive`,`rename_flag`,`vaporize`,`autofeed`  FROM `homunculus` LIMIT 1
		     9 Query	SELECT  `homun_id`,`id`,`lv` FROM `skill_homunculus` LIMIT 1
		     9 Query	SELECT  `mer_id`,`char_id`,`class`,`hp`,`sp`,`kill_counter`,`life_time` FROM `mercenary` LIMIT 1
		     9 Query	SELECT  `char_id`,`merc_id`,`arch_calls`,`arch_faith`,`spear_calls`,`spear_faith`,`sword_calls`,`sword_faith` FROM `mercenary_owner` LIMIT 1
		     9 Query	SELECT  `ele_id`,`char_id`,`class`,`mode`,`hp`,`sp`,`max_hp`,`max_sp`,`atk1`,`atk2`,`matk`,`aspd`,`def`,`mdef`,`flee`,`hit`,`life_time`  FROM `elemental` LIMIT 1
		     9 Query	SELECT  `account_id`,`char_id`,`skill`,`tick` FROM `skillcooldown` LIMIT 1
		     9 Query	SELECT  `char_id`,`script`,`tick`,`flag`,`type`,`icon` FROM `bonus_script` LIMIT 1
		     9 Query	SELECT  `id`,`char_id`,`nameid`,`amount`,`equip`,`identify`,`refine`,`attribute`,`card0`,`card1`,`card2`,`card3`,`option_id0`,`option_val0`,`option_parm0`,`option_id1`,`option_val1`,`option_parm1`,`option_id2`,`option_val2`,`option_parm2`,`option_id3`,`option_val3`,`option_parm3`,`option_id4`,`option_val4`,`option_parm4`,`expire_time`,`bound`,`unique_id`,`enchantgrade` FROM `cart_inventory` LIMIT 1
		     9 Query	SELECT  `id`,`char_id`,`nameid`,`amount`,`equip`,`identify`,`refine`,`attribute`,`card0`,`card1`,`card2`,`card3`,`option_id0`,`option_val0`,`option_parm0`,`option_id1`,`option_val1`,`option_parm1`,`option_id2`,`option_val2`,`option_parm2`,`option_id3`,`option_val3`,`option_parm3`,`option_id4`,`option_val4`,`option_parm4`,`expire_time`,`bound`,`unique_id`,`enchantgrade`,`favorite`,`equip_switch` FROM `inventory` LIMIT 1
		     9 Query	SELECT  `id`,`guild_id`,`nameid`,`amount`,`equip`,`identify`,`refine`,`attribute`,`card0`,`card1`,`card2`,`card3`,`option_id0`,`option_val0`,`option_parm0`,`option_id1`,`option_val1`,`option_parm1`,`option_id2`,`option_val2`,`option_parm2`,`option_id3`,`option_val3`,`option_parm3`,`option_id4`,`option_val4`,`option_parm4`,`expire_time`,`bound`,`unique_id`,`enchantgrade` FROM `guild_storage` LIMIT 1
		     9 Query	SELECT  `clan_id`,`name`,`master`,`mapname`,`max_member` FROM `clan` LIMIT 1
		     9 Query	SELECT  `clan_id`,`opposition`,`alliance_id`,`name` FROM `clan_alliance` LIMIT 1
		     9 Query	SELECT `char_id`,`id`,`count1`,`count2`,`count3`,`count4`,`count5`,`count6`,`count7`,`count8`,`count9`,`count10`,`completed`,`rewarded` FROM `achievement` LIMIT 1
		     9 Query	DELETE FROM `char` WHERE `account_id` = '0'
		     9 Query	DELETE FROM `guild` WHERE `guild_lv` = '0' AND `max_member` = '0' AND `exp` = '0' AND `next_exp` = '0' AND `average_lv` = '0'
		     9 Query	DELETE FROM `guild_member` WHERE `guild_id` = '0' AND `char_id` = '0'
		    11 Connect	prmorroc@localhost as anonymous on rathena_re_db
		    11 Query	SHOW VARIABLES LIKE 'wait_timeout'
		    12 Connect	prmorroc@localhost as anonymous on rathena_re_db
		    12 Query	SHOW VARIABLES LIKE 'wait_timeout'
		    11 Query	SET NAMES utf8
		    12 Query	SET NAMES utf8
		    13 Connect	prmorroc@localhost as anonymous on rathena_re_log
		    13 Query	SHOW VARIABLES LIKE 'wait_timeout'
		    13 Query	SET NAMES utf8
240718  8:12:50	     9 Query	DELETE FROM `mail`WHERE `type` = '2' AND `send_id` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY )
		     9 Query	SELECT `m`.`id`, `c`.`char_id`, `c`.`account_id`, `c2`.`account_id` FROM `mail` `m` INNER JOIN `char` `c` ON `c`.`char_id`=`m`.`dest_id` INNER JOIN `char` `c2` ON `c2`.`char_id`=`m`.`send_id` WHERE `type` = '2' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY ) ORDER BY `id` LIMIT 101
		     9 Query	UPDATE `char` SET `clan_id`='0' WHERE `online`='0' AND `clan_id`<>'0' AND `last_login` IS NOT NULL AND `last_login` <= NOW() - INTERVAL 14 DAY
		     9 Query	DELETE FROM `mail`WHERE `type` = '0' AND `send_id` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY )
		     9 Query	SELECT `m`.`id`, `c`.`char_id`, `c`.`account_id`, `c2`.`account_id` FROM `mail` `m` INNER JOIN `char` `c` ON `c`.`char_id`=`m`.`dest_id` INNER JOIN `char` `c2` ON `c2`.`char_id`=`m`.`send_id` WHERE `type` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY ) ORDER BY `id` LIMIT 101
		     8 Query	INSERT INTO `loginlog`(`time`,`ip`,`user`,`rcode`,`log`) VALUES (NOW(), '26.161.3.99', 'inter_user', '100', 'charserver - Morroc@26.161.3.99:6121')
		    10 Query	SELECT `account_id` FROM `login` WHERE `userid`=  'inter_user'
		    10 Query	SELECT `account_id`,`userid`,`user_pass`,`sex`,`email`,`group_id`,`state`,`unban_time`,`expiration_time`,`logincount`,`lastlogin`,`last_ip`,`birthdate`,`character_slots`,`pincode`, `pincode_change` FROM `login` WHERE `account_id` = 1
		    10 Query	START TRANSACTION
		    10 Prepare	UPDATE `login` SET `userid`=?,`user_pass`=?,`sex`=?,`email`=?,`group_id`=?,`state`=?,`unban_time`=?,`expiration_time`=?,`logincount`=?,`lastlogin`=?,`last_ip`=?,`birthdate`=?,`character_slots`=?,`pincode`=?, `pincode_change`=? WHERE `account_id` = '1'
		    10 Execute	UPDATE `login` SET `userid`='inter_user',`user_pass`='inter_pass',`sex`='S',`email`='a@a.com',`group_id`=99,`state`=0,`unban_time`=0,`expiration_time`=0,`logincount`=24,`lastlogin`='2024-07-18 08:12:50',`last_ip`='26.161.3.99',`birthdate`=NULL,`character_slots`=0,`pincode`='', `pincode_change`=0 WHERE `account_id` = '1'
		    10 Query	COMMIT
		    10 Close stmt	
240718  8:12:56	    11 Prepare	SELECT `varname`, `index`, `value` FROM `mapreg`
		    11 Execute	SELECT `varname`, `index`, `value` FROM `mapreg`
		    11 Close stmt	
240718  8:13:50	     9 Query	DELETE FROM `mail`WHERE `type` = '0' AND `send_id` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY )
		     9 Query	SELECT `m`.`id`, `c`.`char_id`, `c`.`account_id`, `c2`.`account_id` FROM `mail` `m` INNER JOIN `char` `c` ON `c`.`char_id`=`m`.`dest_id` INNER JOIN `char` `c2` ON `c2`.`char_id`=`m`.`send_id` WHERE `type` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY ) ORDER BY `id` LIMIT 101
		     9 Query	DELETE FROM `mail`WHERE `type` = '2' AND `send_id` = '0' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY )
		     9 Query	SELECT `m`.`id`, `c`.`char_id`, `c`.`account_id`, `c2`.`account_id` FROM `mail` `m` INNER JOIN `char` `c` ON `c`.`char_id`=`m`.`dest_id` INNER JOIN `char` `c2` ON `c2`.`char_id`=`m`.`send_id` WHERE `type` = '2' AND `time` <= UNIX_TIMESTAMP( NOW() - INTERVAL 15 DAY ) ORDER BY `id` LIMIT 101
240718  8:13:57	    11 Query	SELECT `nameid`, UNIX_TIMESTAMP(`start`), UNIX_TIMESTAMP(`end`), `amount` FROM `sales` WHERE `end` > now()
		    11 Query	DELETE FROM `sales` WHERE `end` < FROM_UNIXTIME(1721301237)
240718  8:14:36	    11 Query	SELECT `name`,`nameid`,`price`,`amount`,`flag` FROM `market` ORDER BY `name`
240718  8:14:42	    11 Query	DELETE FROM `mapreg` WHERE `varname`='$soulofymir' AND `index`='0'
		    11 Query	DELETE FROM `mapreg` WHERE `varname`='$BGFHighscore' AND `index`='0'
		    11 Query	DELETE FROM `mapreg` WHERE `varname`='$RTMEPity' AND `index`='0'
		    11 Query	DELETE FROM `mapreg` WHERE `varname`='$RTMEBulk' AND `index`='0'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='0'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='1'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='2'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='3'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='4'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='5'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='6'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='7'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='8'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='9'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='10'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='11'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='12'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='13'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='14'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='15'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='16'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='17'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='18'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='19'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='20'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='21'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='22'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='23'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='24'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='25'
		     9 Query	SELECT `castle_id`, `guild_id`, `economy`, `defense`, `triggerE`, `triggerD`, `nextTime`, `payTime`, `createTime`, `visibleC`, `visibleG0`, `visibleG1`, `visibleG2`, `visibleG3`, `visibleG4`, `visibleG5`, `visibleG6`, `visibleG7` FROM `guild_castle` WHERE `castle_id`='26'
